Daily,covid: (United States)
2020-01-10,0
2020-01-11,0
2020-01-12,0
2020-01-13,0
2020-01-14,0
2020-01-15,0
2020-01-16,0
2020-01-17,0
2020-01-18,0
2020-01-19,0
2020-01-20,0
2020-01-21,0
2020-01-22,0
2020-01-23,0
2020-01-24,0
2020-01-25,0
2020-01-26,0
2020-01-27,0
2020-01-28,0
2020-01-29,0
2020-01-30,0
2020-01-31,0
2020-02-01,0
2020-02-02,0
2020-02-03,0
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,0
2020-02-08,0
2020-02-09,0
2020-02-10,0
2020-02-11,0
2020-02-12,0
2020-02-13,<1
2020-02-14,<1
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,1
2020-02-19,0
2020-02-20,<1
2020-02-21,<1
2020-02-22,<1
2020-02-23,<1
2020-02-24,1
2020-02-25,1
2020-02-26,1
2020-02-27,2
2020-02-28,2
2020-02-29,1
2020-03-01,4
2020-03-02,2
2020-03-03,3
2020-03-04,3
2020-03-05,4
2020-03-06,5
2020-03-07,3
2020-03-08,2
2020-03-09,8
2020-03-10,10
2020-03-11,12
2020-03-12,24
2020-03-13,24
2020-03-14,23
2020-03-15,27
2020-03-16,50
2020-03-17,53
2020-03-18,58
2020-03-19,62
2020-03-20,72
2020-03-21,52
2020-03-22,55
2020-03-23,78
2020-03-24,67
2020-03-25,81
2020-03-26,83
2020-03-27,78
2020-03-28,64
2020-03-29,67
2020-03-30,85
2020-03-31,85
2020-04-01,93
2020-04-02,89
2020-04-03,94
2020-04-04,71
2020-04-05,64
2020-04-06,89
2020-04-07,100
2020-04-08,87
2020-04-09,91
2020-04-10,84
2020-04-11,68
2020-04-12,56
2020-04-13,89
2020-04-14,94
2020-04-15,100
2020-04-16,81
2020-04-17,75
2020-04-18,46
2020-04-19,44
2020-04-20,68
2020-04-21,65
2020-04-22,73
2020-04-23,65
2020-04-24,49
2020-04-25,48
2020-04-26,48
2020-04-27,52
2020-04-28,61
2020-04-29,57
2020-04-30,53
2020-05-01,56
2020-05-02,41
2020-05-03,37
2020-05-04,50
2020-05-05,51
2020-05-06,49
2020-05-07,50
2020-05-08,37
2020-05-09,33
2020-05-10,31
2020-05-11,45
2020-05-12,49
2020-05-13,48
2020-05-14,51
2020-05-15,52
2020-05-16,37
2020-05-17,32
2020-05-18,46
2020-05-19,44
2020-05-20,44
2020-05-21,43
2020-05-22,40
2020-05-23,22
2020-05-24,23
2020-05-25,27
2020-05-26,46
2020-05-27,44
2020-05-28,45
2020-05-29,31
2020-05-30,22
2020-05-31,18
2020-06-01,28
2020-06-02,30
2020-06-03,34
2020-06-04,30
2020-06-05,31
2020-06-06,23
2020-06-07,22
2020-06-08,34
2020-06-09,37
2020-06-10,52
2020-06-11,58
2020-06-12,54
2020-06-13,37
2020-06-14,30
2020-06-15,59
2020-06-16,49
2020-06-17,62
2020-06-18,64
2020-06-19,56
2020-06-20,38
2020-06-21,36
2020-06-22,53
2020-06-23,62
2020-06-24,71
2020-06-25,73
2020-06-26,68
2020-06-27,54
2020-06-28,51
2020-06-29,84
2020-06-30,81
2020-07-01,77
2020-07-02,75
2020-07-03,56
2020-07-04,43
2020-07-05,40
2020-07-06,81
2020-07-07,83
2020-07-08,82
2020-07-09,78
2020-07-10,72
2020-07-11,64
2020-07-12,46
2020-07-13,78
2020-07-14,84
2020-07-15,100
2020-07-16,76
2020-07-17,65
2020-07-18,50
2020-07-19,54
2020-07-20,76
2020-07-21,75
2020-07-22,76
2020-07-23,81
2020-07-24,69
2020-07-25,44
2020-07-26,48
2020-07-27,70
2020-07-28,78
2020-07-29,74
2020-07-30,64
2020-07-31,68
2020-08-01,45
2020-08-02,40
2020-08-03,69
2020-08-04,66
2020-08-05,66
2020-08-06,59
2020-08-07,60
2020-08-08,50
2020-08-09,59
2020-08-10,72
2020-08-11,65
2020-08-12,54
2020-08-13,55
2020-08-14,47
2020-08-15,35
2020-08-16,32
2020-08-17,57
2020-08-18,60
2020-08-19,52
2020-08-20,54
2020-08-21,57
2020-08-22,40
2020-08-23,40
2020-08-24,53
2020-08-25,50
2020-08-26,55
2020-08-27,48
2020-08-28,43
2020-08-29,33
2020-08-30,39
2020-08-31,52
2020-09-01,47
2020-09-02,52
2020-09-03,54
2020-09-04,38
2020-09-05,26
2020-09-06,28
2020-09-07,23
2020-09-08,41
2020-09-09,47
2020-09-10,43
2020-09-11,40
2020-09-12,30
2020-09-13,30
2020-09-14,41
2020-09-15,38
2020-09-16,40
2020-09-17,34
2020-09-18,39
2020-09-19,25
2020-09-20,20
2020-09-21,40
2020-09-22,42
2020-09-23,42
2020-09-24,38
2020-09-25,30
2020-09-26,27
2020-09-27,23
2020-09-28,42
2020-09-29,36
2020-09-30,38
2020-10-01,38
2020-10-02,68
2020-10-03,35
2020-10-04,29
2020-10-05,44
2020-10-06,40
2020-10-07,41
2020-10-08,34
2020-10-09,38
2020-10-10,29
2020-10-11,27
2020-10-12,34
2020-10-13,53
2020-10-14,50
2020-10-15,47
2020-10-16,41
2020-10-17,25
2020-10-18,23
2020-10-19,45
2020-10-20,45
2020-10-21,41
2020-10-22,45
2020-10-23,35
2020-10-24,31
2020-10-25,36
2020-10-26,49
2020-10-27,39
2020-10-28,58
2020-10-29,49
2020-10-30,41
2020-10-31,29
2020-11-01,34
2020-11-02,44
2020-11-03,34
2020-11-04,21
2020-11-05,35
2020-11-06,32
2020-11-07,21
2020-11-08,34
2020-11-09,52
2020-11-10,51
2020-11-11,48
2020-11-12,64
2020-11-13,59
2020-11-14,49
2020-11-15,44
2020-11-16,76
2020-11-17,74
2020-11-18,62
2020-11-19,68
2020-11-20,65
2020-11-21,43
2020-11-22,43
2020-11-23,67
2020-11-24,67
2020-11-25,54
2020-11-26,31
2020-11-27,37
2020-11-28,41
2020-11-29,38
2020-11-30,58
2020-12-01,63
2020-12-02,55
2020-12-03,70
2020-12-04,61
2020-12-05,58
2020-12-06,37
2020-12-07,64
2020-12-08,63
2020-12-09,63
2020-12-10,61
2020-12-11,52
2020-12-12,47
2020-12-13,37
2020-12-14,55
2020-12-15,56
2020-12-16,71
2020-12-17,58
2020-12-18,64
2020-12-19,38
2020-12-20,49
2020-12-21,81
2020-12-22,76
2020-12-23,64
2020-12-24,47
2020-12-25,18
2020-12-26,40
2020-12-27,47
2020-12-28,76
2020-12-29,67
2020-12-30,78
2020-12-31,76
2021-01-01,41
2021-01-02,49
2021-01-03,40
2021-01-04,64
2021-01-05,82
2021-01-06,59
2021-01-07,61
2021-01-08,59
2021-01-09,42
2021-01-10,44
2021-01-11,77
2021-01-12,78
2021-01-13,86
2021-01-14,72
2021-01-15,80
2021-01-16,67
2021-01-17,47
2021-01-18,68
2021-01-19,73
2021-01-20,59
2021-01-21,87
2021-01-22,75
2021-01-23,60
2021-01-24,49
2021-01-25,81
2021-01-26,83
2021-01-27,89
2021-01-28,91
2021-01-29,76
2021-01-30,67
2021-01-31,51
2021-02-01,77
2021-02-02,78
2021-02-03,74
2021-02-04,82
2021-02-05,80
2021-02-06,57
2021-02-07,43
2021-02-08,57
2021-02-09,74
2021-02-10,69
2021-02-11,73
2021-02-12,59
2021-02-13,46
2021-02-14,40
2021-02-15,49
2021-02-16,59
2021-02-17,62
2021-02-18,50
2021-02-19,60
2021-02-20,52
2021-02-21,44
2021-02-22,61
2021-02-23,79
2021-02-24,62
2021-02-25,56
2021-02-26,74
2021-02-27,64
2021-02-28,46
2021-03-01,67
2021-03-02,71
2021-03-03,73
2021-03-04,69
2021-03-05,71
2021-03-06,66
2021-03-07,83
2021-03-08,77
2021-03-09,88
2021-03-10,100
2021-03-11,98
2021-03-12,90
2021-03-13,82
2021-03-14,66
2021-03-15,83
2021-03-16,79
2021-03-17,81
2021-03-18,78
2021-03-19,57
2021-03-20,52
2021-03-21,37
2021-03-22,65
2021-03-23,66
2021-03-24,47
2021-03-25,56
2021-03-26,60
2021-03-27,40
2021-03-28,42
2021-03-29,66
2021-03-30,63
2021-03-31,69
2021-04-01,58
2021-04-02,53
2021-04-03,39
2021-04-04,31
2021-04-05,63
2021-04-06,63
2021-04-07,57
2021-04-08,52
2021-04-09,54
2021-04-10,41
2021-04-11,32
2021-04-12,55
2021-04-13,53
2021-04-14,63
2021-04-15,59
2021-04-16,48
2021-04-17,31
2021-04-18,45
2021-04-19,53
2021-04-20,44
2021-04-21,48
2021-04-22,48
2021-04-23,49
2021-04-24,34
2021-04-25,31
2021-04-26,62
2021-04-27,62
2021-04-28,55
2021-04-29,45
2021-04-30,51
2021-05-01,77
2021-05-02,39
2021-05-03,39
2021-05-04,46
2021-05-05,41
2021-05-06,43
2021-05-07,37
2021-05-08,29
2021-05-09,27
2021-05-10,48
2021-05-11,38
2021-05-12,47
2021-05-13,38
2021-05-14,47
2021-05-15,32
2021-05-16,36
2021-05-17,53
2021-05-18,41
2021-05-19,44
2021-05-20,38
2021-05-21,32
2021-05-22,20
2021-05-23,32
2021-05-24,46
2021-05-25,48
2021-05-26,38
2021-05-27,28
2021-05-28,27
2021-05-29,21
2021-05-30,26
2021-05-31,31
2021-06-01,44
2021-06-02,33
2021-06-03,36
2021-06-04,32
2021-06-05,22
2021-06-06,23
2021-06-07,29
2021-06-08,32
2021-06-09,31
2021-06-10,34
2021-06-11,33
2021-06-12,22
2021-06-13,15
2021-06-14,33
2021-06-15,31
2021-06-16,28
2021-06-17,25
2021-06-18,30
2021-06-19,22
2021-06-20,14
2021-06-21,29
2021-06-22,33
2021-06-23,23
2021-06-24,28
2021-06-25,29
2021-06-26,21
2021-06-27,21
2021-06-28,25
2021-06-29,35
2021-06-30,34
2021-07-01,22
2021-07-02,23
2021-07-03,17
2021-07-04,19
2021-07-05,20
2021-07-06,28
2021-07-07,36
2021-07-08,32
2021-07-09,30
2021-07-10,22
2021-07-11,22
2021-07-12,32
2021-07-13,30
2021-07-14,27
2021-07-15,33
2021-07-16,33
2021-07-17,22
2021-07-18,23
2021-07-19,39
2021-07-20,37
2021-07-21,36
2021-07-22,42
2021-07-23,36
2021-07-24,22
2021-07-25,23
2021-07-26,39
2021-07-27,46
2021-07-28,47
2021-07-29,44
2021-07-30,35
2021-07-31,34
2021-08-01,29
2021-08-02,48
2021-08-03,52
2021-08-04,100
2021-08-05,63
2021-08-06,54
2021-08-07,38
2021-08-08,31
2021-08-09,57
2021-08-10,51
2021-08-11,58
2021-08-12,54
2021-08-13,43
2021-08-14,37
2021-08-15,35
2021-08-16,44
2021-08-17,49
2021-08-18,50
2021-08-19,51
2021-08-20,58
2021-08-21,31
2021-08-22,28
2021-08-23,41
2021-08-24,54
2021-08-25,52
2021-08-26,51
2021-08-27,46
2021-08-28,35
2021-08-29,32
2021-08-30,44
2021-08-31,43
2021-09-01,76
2021-09-02,53
2021-09-03,37
2021-09-04,30
2021-09-05,26
2021-09-06,35
2021-09-07,52
2021-09-08,37
2021-09-09,41
2021-09-10,45
2021-09-11,32
2021-09-12,20
2021-09-13,40
2021-09-14,41
2021-09-15,45
2021-09-16,28
2021-09-17,38
2021-09-18,22
2021-09-19,34
2021-09-20,49
2021-09-21,40
2021-09-22,33
2021-09-23,38
2021-09-24,34
2021-09-25,27
2021-09-26,21
2021-09-27,45
2021-09-28,32
2021-09-29,40
2021-09-30,35
2021-10-01,26
2021-10-02,21
2021-10-03,19
2021-10-04,27
2021-10-05,25
2021-10-06,36
2021-10-07,29